id,age,salary,years_experience,credit_score,monthly_expense,savings,loan_amount,transactions,rating
1,56,24930,15,714,33002,216069,44330,52,1
2,69,18285,10,358,37868,353406,165819,82,1
3,46,50863,1,482,6113,259595,616352,48,1
4,32,31704,15,746,28532,325728,415764,217,3
5,60,33705,0,600,38861,7384,485334,182,6
6,25,15555,16,653,10124,180970,413438,243,3
7,38,36323,17,512,23235,430657,367588,220,4
8,56,85968,12,488,27262,123785,930980,208,2
9,36,81922,4,646,5579,38917,985355,127,7
10,40,68915,5,436,27619,478649,893028,182,4
11,28,25619,0,329,23829,7608,4756,296,1
12,28,87390,9,445,11571,240852,39564,35,4
13,41,74274,4,767,22912,411994,79850,280,4
14,53,88173,0,802,36341,281233,44404,163,3
15,57,36225,10,490,14663,305276,720928,203,8
16,41,41739,6,770,24104,478557,315627,162,7
17,20,62708,17,644,19640,403007,932037,230,3
18,39,68019,19,300,19511,228843,913914,4,4
19,19,91154,9,409,34699,86424,187114,78,8
20,41,117097,14,363,30892,478435,991563,152,3
21,61,22373,3,352,3049,349079,249276,116,5
22,47,50281,15,561,39951,313792,217573,36,5
23,55,35187,14,828,4301,433690,200823,291,5
24,19,82863,14,601,31497,307221,802973,285,5
25,38,112927,11,533,33149,138843,846884,36,9
26,50,99085,7,372,37966,57858,283473,55,5
27,29,54220,7,656,26889,292422,387215,49,9
28,39,22642,17,783,4695,279382,904748,55,9
29,61,94971,5,305,8645,157082,315078,260,4
30,42,70556,4,436,27105,396874,446189,130,9
31,66,48760,1,703,10149,406107,543360,88,2
32,44,53192,11,505,17032,167163,25268,270,3
33,59,19381,3,709,24243,167735,386075,126,1
34,45,111583,12,335,12433,330211,365492,185,7
35,33,34558,16,529,26887,340038,28459,30,9
36,32,45782,15,526,19379,96942,652866,208,3
37,64,19782,8,561,8865,475257,752369,8,8
38,68,106417,0,430,15610,294767,961386,142,1
39,61,69712,14,747,25880,112258,982259,212,6
40,69,109945,11,485,12715,296693,794278,284,6
41,20,34462,4,485,4631,362873,169225,132,5
42,54,75030,17,573,35031,104232,886834,102,4
43,68,83519,19,651,15830,69087,837740,283,3
44,24,71411,1,712,26596,29062,392589,75,4
45,38,70206,3,450,31220,77051,136526,100,7
46,26,112469,14,683,27772,439597,221317,232,7
47,56,61950,5,335,39811,254183,249510,291,3
48,35,17523,11,625,7116,230932,96236,236,3
49,21,75926,17,764,18303,9704,559183,269,3
50,42,24677,19,765,21517,143482,29678,55,5
51,31,90828,3,394,3636,72974,228962,254,1
52,67,30089,0,433,28802,286046,111023,215,7
53,26,19581,14,461,9811,137858,245400,299,8
54,43,26907,17,599,17223,168991,316896,299,7
55,19,20609,13,655,12581,210807,56183,296,8
56,37,66153,2,539,22919,72629,794194,159,9
57,45,65539,14,466,19482,442569,938085,259,4
58,64,59143,4,439,4604,129518,528714,228,3
59,24,37936,2,438,2207,29691,749943,145,7
60,61,65182,6,534,30390,426118,67010,80,9
61,25,114524,5,302,10463,389565,799483,39,9
62,64,110042,0,555,38446,24118,399205,194,8
63,52,28163,18,670,26990,137088,236864,197,3
64,31,74758,6,577,38236,302421,717223,97,6
65,34,61057,3,815,14671,364408,9240,246,2
66,53,27537,11,511,11476,153399,981560,76,6
67,67,37419,19,515,6986,354508,835999,253,5
68,57,57578,17,569,30590,173756,651565,278,4
69,21,89991,8,775,17526,215298,357475,8,3
70,19,89599,18,827,8803,378591,38275,199,8
71,23,15834,3,363,13905,88158,116854,252,6
72,59,47214,0,759,4461,146274,530070,18,9
73,21,107934,8,315,7673,345290,964175,242,3
74,46,115028,14,318,12954,491519,215370,253,5
75,35,17413,7,624,12420,448165,156309,4,4
76,43,24505,14,392,19327,468251,536934,237,6
77,61,117802,14,316,31564,381210,990333,179,2
78,51,17105,17,787,6156,192425,49440,12,6
79,27,83104,6,393,14251,450080,625192,293,3
80,53,73408,17,309,15520,485845,476861,258,8
81,31,52679,15,827,18549,387555,931836,259,6
82,48,114096,1,788,3905,33054,497573,85,8
83,65,94731,3,443,11515,174876,162231,295,7
84,32,80131,19,814,18734,464960,57918,112,6
85,25,79280,15,769,28886,336122,950988,206,9
